U1_18RowNumber,Date,Dchoke (mm),WHP (atm),DHGP (atm),DHGP (psi),A-annulus Pres (atm),7x10 Annulus Pressure (atm),10x13 Annulus Pressure (atm),13x18 Annulus Pressure (atm),18x24 Annulus Pressure (atm),24x28 Annulus Pressure (atm),28x32 Annulus Pressure (atm),SSSV Pressure (atm), I-II Choke Pressure  (atm), II-III Choke Pressure  (atm),III Choke Pressure (atm),DHGT (Celcius),III pille Temperature (Celcius)
196,09.06.21 04:00,#N/A,519,671,9858,117,0,125,30,4,0,1,888,250,120,59.4,102,28
197,09.06.21 06:00,#N/A,519,671,9858,117,0,125,30,4,0,1,888,250,120,59.5,102,28
198,09.06.21 08:00,#N/A,518,671,9858,117,0,125,30,4,0,1,888,250,120,59.5,102,28
199,09.06.21 10:00,#N/A,518,671,9857,117,0,125,30,4,0,1,888,250,120,59.5,102,28
200,09.06.21 12:00,#N/A,518,671,9857,117,0,125,30,4,0,1,888,250,120,59.5,102,28
201,09.06.21 14:00,#N/A,518,671,9856,117,0,125,30,4,0,1,888,250,120,59.4,102,28
202,09.06.21 16:00,#N/A,518,671,9856,117,0,125,30,4,0,1,888,250,120,59.2,102,28
203,09.06.21 18:00,#N/A,518,671,9856,117,0,125,30,4,0,1,888,250,120,59.2,102,28
204,09.06.21 20:00,#N/A,518,671,9856,117,0,125,30,4,0,1,888,250,120,59.2,102,28
205,09.06.21 22:00,#N/A,518,671,9857,117,0,125,30,4,0,1,888,250,120,59,102,27
206,09.07.21 00:00,#N/A,518,671,9857,117,0,125,30,4,0,1,888,250,120,59,102,27
207,09.07.21 02:00,#N/A,518,671,9855,117,0,125,30,4,0,1,888,250,120,59.1,102,27
208,09.07.21 04:00,#N/A,518,671,9855,117,0,126,30,4,0,1,888,250,120,59.3,102,27
209,09.07.21 06:00,#N/A,518,671,9854,117,0,126,30,4,0,1,888,250,120,59.3,102,27
210,09.07.21 08:00,#N/A,518,670,9853,117,0,126,30,4,0,1,888,250,120,59.3,102,27
211,09.07.21 10:00,#N/A,518,670,9852,118,0,126,30,4,0,1,888,250,120,59.5,102,27
212,09.07.21 12:00,#N/A,518,670,9852,118,0,126,30,4,0,1,888,250,120,59.5,102,28
213,09.07.21 14:00,#N/A,518,670,9852,118,0,126,30,4,0,1,888,250,120,59.5,102,28
214,09.07.21 16:00,#N/A,518,670,9852,118,0,126,30,4,0,1,888,250,120,59.4,102,28
215,09.07.21 18:00,#N/A,518,670,9851,118,0,126,30,4,0,1,888,250,120,59.4,102,27
216,09.07.21 20:00,#N/A,518,670,9851,118,0,126,30,4,0,1,888,250,120,59.4,102,27
217,09.07.21 22:00,#N/A,518,670,9850,118,0,127,30,4,0,1,888,250,120,59.3,102,27
218,09.08.21 00:00,#N/A,518,670,9850,118,0,127,30,4,0,1,888,250,120,59.3,102,27
219,09.08.21 02:00,#N/A,518,670,9850,118,0,127,30,4,0,1,888,250,120,59.3,102,27
220,09.08.21 04:00,#N/A,518,670,9849,118,0,127,30,4,0,1,888,250,120,59.3,102,27
221,09.08.21 06:00,#N/A,518,670,9849,118,0,127,30,4,0,1,888,250,120,59.3,102,28
222,09.08.21 08:00,#N/A,518,670,9848,118,0,127,30,4,0,1,888,250,120,59.4,102,28
223,09.08.21 10:00,#N/A,518,670,9848,118,0,127,30,4,0,1,888,250,120,59.5,102,28
224,09.08.21 12:00,#N/A,518,670,9848,118,0,127,30,4,0,1,888,250,120,59.5,102,28
225,09.08.21 14:00,#N/A,518,670,9847,118,0,127,30,4,0,1,888,250,120,59.4,102,28
226,09.08.21 16:00,#N/A,518,670,9846,118,0,128,30,4,0,1,888,250,120,59.3,102,28
227,09.08.21 18:00,#N/A,518,670,9846,119,0,128,30,4,0,1,891,250,120,59.4,102,28
228,09.08.21 20:00,#N/A,518,670,9846,119,0,128,30,4,0,1,891,250,120,59.4,102,28
229,09.08.21 22:00,#N/A,518,670,9845,119,0,128,30,4,0,1,891,250,120,59.3,102,28
230,09.09.21 00:00,#N/A,518,670,9845,119,0,128,30,4,0,1,891,250,120,59.3,102,28
231,09.09.21 02:00,#N/A,518,670,9845,119,0,128,30,4,0,1,891,250,120,59.3,102,28
232,09.09.21 04:00,#N/A,518,670,9844,119,0,128,30,4,0,1,891,250,120,59.5,102,28
233,09.09.21 06:00,#N/A,518,670,9844,119,0,128,30,4,0,1,891,250,120,59.5,102,28
234,09.09.21 08:00,#N/A,518,670,9844,119,0,128,30,4,0,1,891,250,120,59.6,102,28
235,09.09.21 10:00,#N/A,518,670,9844,119,0,128,30,4,0,1,891,250,120,59.6,102,28
236,09.09.21 12:00,#N/A,518,670,9844,119,0,128,30,4,0,1,891,250,120,59.5,102,28
237,09.09.21 14:00,#N/A,518,670,9843,119,0,129,30,4,0,1,891,250,120,59.5,102,28
238,09.09.21 16:00,#N/A,518,670,9842,119,0,129,30,4,0,1,891,250,120,59.6,102,28
239,09.09.21 18:00,#N/A,518,670,9843,119,0,129,30,4,0,1,891,250,120,59.5,102,28
